Country_Code,Country_Name,Region,Region_Code
NCL,New Caledonia,East Asia & Pacific,EAS
NZL,New Zealand,East Asia & Pacific,EAS
NIC,Nicaragua,Latin America & Caribbean,LCN
NER,Niger,Sub-Saharan Africa,SSF
NGA,Nigeria,Sub-Saharan Africa,SSF
MNP,Northern Mariana Islands,East Asia & Pacific,EAS
NOR,Norway,Europe & Central Asia,ECS
OMN,Oman,Middle East & North Africa,MEA
PAK,Pakistan,South Asia,SAS
PLW,Palau,East Asia & Pacific,EAS
PAN,PaNACa,Latin America & Caribbean,LCN
PNG,Papua New Guinea,East Asia & Pacific,EAS
PRY,Paraguay,Latin America & Caribbean,LCN
PER,Peru,Latin America & Caribbean,LCN
PHL,Philippines,East Asia & Pacific,EAS
POL,Poland,Europe & Central Asia,ECS
PRT,Portugal,Europe & Central Asia,ECS
PRI,Puerto Rico,Latin America & Caribbean,LCN,
QAT,Qatar,Middle East & North Africa,MEA
ROM,Romania,Europe & Central Asia,ECS
RUS,Russian Federation,Europe & Central Asia,ECS
RWA,Rwanda,Sub-Saharan Africa,SSF
WSM,Samoa,East Asia & Pacific,EAS
SMR,San Marino,Europe & Central Asia,ECS
STP,Sao Tome and Principe,Sub-Saharan Africa,SSF
SAU,Saudi Arabia,Middle East & North Africa,MEA
SEN,Senegal,Sub-Saharan Africa,SSF
SRB,Serbia,Europe & Central Asia,ECS
SYC,Seychelles,Sub-Saharan Africa,SSF
SLE,Sierra Leone,Sub-Saharan Africa,SSF
SGP,Singapore,East Asia & Pacific,EAS
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,LCN
SVK,Slovak Republic,Europe & Central Asia,ECS
SVN,Slovenia,Europe & Central Asia,ECS
SLB,Solomon Islands,East Asia & Pacific,EAS
SOM,Somalia,Sub-Saharan Africa,SSF
ZAF,South Africa,Sub-Saharan Africa,SSF
SSD,South Sudan,Sub-Saharan Africa,SSF
ESP,Spain,Europe & Central Asia,ECS
LKA,Sri Lanka,South Asia,SAS
KNA,St. Kitts and Nevis,Latin America & Caribbean,LCN
LCA,St. Lucia,Latin America & Caribbean,LCN
MAF,St. Martin (French part),Latin America & Caribbean,LCN
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,LCN
SDN,Sudan,Sub-Saharan Africa,SSF
SUR,SuriNACe,Latin America & Caribbean,LCN
SWZ,Swaziland,Sub-Saharan Africa,SSF
SWE,Sweden,Europe & Central Asia,ECS
CHE,Switzerland,Europe & Central Asia,ECS
SYR,Syrian Arab Republic,Middle East & North Africa,MEA
TJK,Tajikistan,Europe & Central Asia,ECS
TZA,Tanzania,Sub-Saharan Africa,SSF
THA,Thailand,East Asia & Pacific,EAS
TMP,Timor-Leste,East Asia & Pacific,EAS
TGO,Togo,Sub-Saharan Africa,SSF
TON,Tonga,East Asia & Pacific,EAS
TTO,Trinidad and Tobago,Latin America & Caribbean,LCN
TUN,Tunisia,Middle East & North Africa,MEA
TUR,Turkey,Europe & Central Asia,ECS
TKM,Turkmenistan,Europe & Central Asia,ECS
TCA,Turks and Caicos Islands,Latin America & Caribbean,LCN
TUV,Tuvalu,East Asia & Pacific,EAS
UGA,Uganda,Sub-Saharan Africa,SSF
UKR,Ukraine,Europe & Central Asia,ECS
ARE,United Arab Emirates,Middle East & North Africa,MEA
GBR,United Kingdom,Europe & Central Asia,ECS
USA,United States,North America,NAC
URY,Uruguay,Latin America & Caribbean,LCN
UZB,Uzbekistan,Europe & Central Asia,ECS
VUT,Vanuatu,East Asia & Pacific,EAS
VEN,"Venezuela, RB",Latin America & Caribbean,LCN
VNM,VietNam,East Asia & Pacific,EAS
VIR,Virgin Islands (U.S.),Latin America & Caribbean,LCN
WBG,West Bank and Gaza,Middle East & North Africa,MEA
YEM,"Yemen, Rep.",Middle East & North Africa,MEA
ZMB,Zambia,Sub-Saharan Africa,SSF
ZWE,Zimbabwe,Sub-Saharan Africa,SSF
